course,prof,gpa
101,"Schmitz, Christopher",3.1530530040807463
110,"Choi, Hyungsoo",3.2849543671551724
110,"Schmitz, Christopher",3.397621244116331
110,"Gilbert, Matthew",3.401824362107303
110,"Fang, Kejie",3.093111111111111
110,"Bayram, Can",3.383903703703704
110,"Zhao, Yang",3.412169811320755
110,"Chen, Yun-Sheng",3.1657692307692304
110,"Ravaioli, Umberto",3.230916606757728
110,"Jiang, Jing",3.218317307692308
110,"Gruev, Viktor",3.4709112662013957
110,"Zhou, Jin",3.3666336633663363
110,"Makela, Jonathan J",3.620186915887851
110,"Chen, Xiaogang",3.320922649140546
110,"Minin, Serge",3.2523301241589446
110,"Franke, Patricia M",3.2767924528301884
110,"Varodayan, David",3.368724521224347
110,"Haken, Lippold",2.939109356895259
110,"Goddard, Lynford L",3.069785714285714
110,"Trick, Timothy N",2.823171664626683
110,"Frizzell, Leon A",2.8094950514888337
110,"Brunet, Marie-Christine",3.0845863581684867
110,"Vaidya, Nitin H",2.8874576271186436
110,"Loui, Michael C",2.7914953271028033
120,"Levchenko, Kirill I",3.2196767697512843
120,"Bhowmik, Ujjal K",3.0403184236233085
120,"Borisov, Nikita",3.3555555555555556
120,"Aggarwal, Anu",3.446421568627451
120,"Bhat, Suma P",3.203743049028822
120,"Jones, Douglas L",3.1716863717264174
120,"Choi, Dong San",3.0798358614765533
120,"Chitambar, Eric A",3.216621621621622
120,"Kindratenko, Volodymyr",3.0010396025241515
120,"Lahiri, Pratik",3.0139175257731954
120,"Varodayan, David",3.0356321209942707
120,"Jaramillo Jimen, Juan Jos",3.0448488656832686
120,"Brown, Donna J",2.8300064137804655
120,"Lumetta, Steven S",2.8685889175257735
190,"Hu, Yih-Chun",2.7312188164218667
190,"Mitra, Sayan",2.6724304359448183
190,"Karantasis, Konstantinos",2.8738636363636356
190,"Kindratenko, Volodymyr",2.6284573996529916
190,"Nicol, David M",2.5530588235294114
198,"Kindratenko, Volodymyr",2.9311960107127795
198,"Patel, Sanjay J",2.6437734593837536
198,"Vasudevan, Shobha",2.69
198,"Herman, Geoffrey L",2.8603872912801482
198,"Mitra, Sayan",2.6528640929064657
198,"Hu, Yih-Chun",2.7145238095238096
199,"Schmitz, Christopher",3.9412238325281805
199,"Varodayan, David",3.776746580713972
199,"Jones, Douglas L",2.951111111111111
205,"Radhakrishnan, Chandrasek",3.0501308594237675
205,"Cheng, Zuofu",3.1352272726485206
205,"Haney, Michael J",3.4807262013011235
205,"Choi, Hyungsoo",2.9178865218395127
205,"Roppo, Mike",2.919036185610898
205,"Mohamed, Mohamed Y",3.321168103448276
205,"Zhang, Jianhua",2.9046259680892583
206,"Muralidaran, Siddharth",3.8214285714285716
206,"Lee, Kiwook",3.440714285714286
206,"Link, Steffen P",3.33375
206,"Cheng, Zuofu",3.6073947552447554
206,"Radhakrishnan, Chandrasek",3.9022350409065525
206,"Kar, Arunita",3.689333333333333
206,"Wang, Xinhao",3.7761085607940448
206,"Hsiao, Fu Chen",3.753478260869565
206,"Xia, Tian",3.6899999999999995
206,"Sharma, Abhishek",3.8668
206,"Goldshlag, William",3.9167857142857145
206,"Ji, Yuxiao",3.816551724137931
206,"Venkatesan, Neeraj",3.4353846153846153
206,"Zhu, Junheng",3.8841666666666668
206,"Haney, Michael J",3.7095389320165997
206,"Harris, Kyle A",3.4930434782608697
206,"McKeown, Steven J",3.5338
206,"Fellows, Kurt M",3.56
206,"Zhang, Jianhua",3.5746420693906193
210,"Alvarez, Juan",2.726668159853871
210,"Mironenko, Olga",2.733611308677098
210,"Han, Aiguo",2.629382850241546
210,"Schuh, Jonathon K",2.5909286723163842
